Type,#,Name,Shipbuilder,Hull #,Light Displacement Tons,FY,Contract Award,Keel Laid,Keel Laid Fixed?,Launched,Delivered,Disposition
CL,67,Topeka,Bethlehem Quincy,1501,"10,000",,1-Jul-40,21-Apr-43,4/21/43,8/19/44,12/23/44,"Converted to CLG 8 1960, scrapped 1979"
CV,10,Yorktown,Newport News Shipbuilding,393,"27,100",,3-Jul-40,1-Dec-41,12/1/41,1/21/43,4/15/43,Memorial in Mount Pleasant SC 1973
CV,11,Intrepid,Newport News Shipbuilding,394,"27,100",,3-Jul-40,1-Dec-41,12/1/41,4/26/43,8/16/43,Memorial in New York NY 1982
CL,76,New Haven,New York Shipbuilding,431,"13,600",,9-Sep-40,11-Aug-41,8/11/41,12/6/42,3/31/43,"Belleau Wood (CVL 24), to France as Bois Belleau (R 97), scrapped 1960"
CL,77,Huntington,New York Shipbuilding,432,"13,600",,9-Sep-40,17-Nov-41,11/17/41,1/17/43,5/28/43,"Cowpens (CVL 25), scrapped 1960"
CL,78,Dayton,New York Shipbuilding,433,"13,600",,9-Sep-40,29-Dec-41,12/29/41,2/28/43,6/17/43,"Monterey (CVL 26), scrapped 1971"
CL,79,Wilmington,New York Shipbuilding,434,"13,600",,9-Sep-40,16-Aug-42,8/16/42,4/4/43,7/24/43,"Cabot (CVL 28), to Spain 1967 as Dedalo (R 01), scrapped 2003"
CV,18,Wasp,Bethlehem Quincy,1510,"27,100",,9-Sep-40,18-Mar-42,3/18/42,8/17/43,11/24/43,Scrapped 1973
CL,80,Biloxi,Newport News Shipbuilding,399,"10,000",,9-Sep-40,9-Jul-41,7/9/41,2/23/43,8/31/43,Scrapped 1962
CV,12,Hornet,Newport News Shipbuilding,395,"27,100",,3-Jul-40,3-Aug-42,8/3/42,8/30/43,11/29/43,Memorial in Alameda CA 1989
CL,81,Houston,Newport News Shipbuilding,400,"10,000",,9-Sep-40,4-Aug-41,8/4/41,6/19/43,12/20/43,Scrapped 1960
CL,82,Providence,Bethlehem Quincy,1502,"10,000",,9-Sep-40,27-Jul-43,7/27/43,12/28/44,5/15/45,"Converted to CLG 6 1959, scrapped 1978"
CL,83,Manchester,Bethlehem Quincy,1503,"10,000",,9-Sep-40,25-Apr-44,4/25/44,3/5/46,10/29/46,Scrapped 1960
CL,84,Buffalo,Federal Shipbuilding,,"10,000",,9-Sep-40,,,,,Cancelled 1940
CV,13,Franklin,Newport News Shipbuilding,396,"27,100",,3-Jul-40,7-Dec-42,12/7/42,10/14/43,1/31/44,Scrapped 1966
CL,85,Fargo,New York Shipbuilding,443,"10,000",,9-Sep-40,11-Apr-42,4/11/42,5/22/43,8/31/43,"Langley (CVL 27), to France 1951 as Lafayette (R 96), scrapped 1964"
CL,86,Vicksburg,Newport News Shipbuilding,411,"10,000",,9-Sep-40,26-Oct-42,10/26/42,12/14/43,6/12/44,Scrapped 1964
CV,19,Hancock,Bethlehem Quincy,1511,"27,100",,9-Sep-40,26-Jan-43,1/26/43,1/24/44,4/15/44,Scrapped 1976
CV,14,Ticonderoga,Newport News Shipbuilding,397,"27,100",,3-Jul-40,1-Feb-43,2/1/43,2/7/44,5/8/44,Scrapped 1974
CA,72,Albany/Pittsburgh,Bethlehem Quincy,1504,"13,600",,9-Sep-40,3-Feb-43,2/3/43,2/22/44,10/9/44,Scrapped 1974
CA,73,Rochester/St. Paul,Bethlehem Quincy,1505,"13,600",,9-Sep-40,3-Feb-43,2/3/43,9/16/44,2/16/45,Scrapped 1980
CL,87,Duluth,Newport News Shipbuilding,412,"10,000",,9-Sep-40,9-Nov-42,11/9/42,1/13/44,9/18/44,Scrapped 1960
CL,88,Newark,Federal Shipbuilding,,"10,000",,9-Sep-40,,,,,Cancelled 1940
CL,89,Miami,Cramp SB,532,"10,000",,29-Oct-40,2-Aug-41,8/2/41,8/12/42,12/28/43,Scrapped 1962
CL,90,Astoria,Cramp SB,533,"10,000",,29-Oct-40,6-Sep-41,9/6/41,3/6/43,5/17/44,Scrapped 1971
CV,15,Randolph,Newport News Shipbuilding,398,"27,100",,3-Jul-40,10-May-43,5/10/43,9/29/44,10/9/44,Scrapped 1975
CA,74,Columbus,Bethlehem Quincy,1506,"13,600",,9-Sep-40,28-Jun-43,6/28/43,11/30/44,6/8/45,"Converted to CG 12 1962, scrapped 1976"
CL,91,Oklahoma City,Cramp SB,534,"10,000",,29-Oct-40,8-Dec-42,12/8/42,2/20/44,12/22/44,"Converted to CLG 5 1960, sunk as target 1999"
CA,75,Des Moines/Helena,Bethlehem Quincy,1507,"13,600",,9-Sep-40,9-Sep-43,9/9/43,4/28/45,9/3/45,Scrapped 1974
CL,92,Little Rock,Cramp SB,535,"10,000",,29-Oct-40,6-Mar-43,3/6/43,8/27/44,6/17/45,"Converted to CLG 4 1960, memorial in Buffalo NY 1977"
CL,93,Galveston,Cramp SB,536,"10,000",,29-Oct-40,20-Feb-44,2/20/44,4/22/45,5/25/46,"Converted to CLG 3 1958, scrapped 1975"
CL,94,Youngstown,Cramp SB,537,"10,000",,29-Oct-40,4-Sep-44,9/4/44,,,Cancelled 1945
CL,95,Oakland,Bethlehem San Francisco,5386,"6,000",,9-Sep-40,13-Jul-41,7/13/41,10/23/42,7/17/43,Scrapped 1959
CL,96,Reno,Bethlehem San Francisco,5387,"6,000",,9-Sep-40,12-Aug-41,8/12/41,12/23/42,12/28/43,Scrapped 1962
CL,97,Flint,Bethlehem San Francisco,5388,"6,000",,9-Sep-40,23-Oct-42,10/23/42,1/25/44,8/31/44,Scrapped 1966
CL,98,Tucson,Bethlehem San Francisco,5389,"6,000",,9-Sep-40,23-Dec-42,12/23/42,9/3/44,2/3/45,Scrapped 1971
